Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
B_2_3_P_BLUE_0_2_1_-1_2_3_P_ORANGE_1_3_1_4_2_4,3,1,0,4,4,0.75,0.0,0.4020273,0.035815146,0.3661768,0.4616869,0.023335619,0.0045391447,0.017211426,0.03001915
B_0_4_P_BLUE_0_1_0_4_0_4_P_ORANGE_-1_2_0_4_0_5,3,1,0,4,4,0.75,0.0,0.38028815,0.10131216,0.20633009,0.45994672,0.026092235,0.0075479103,0.015725547,0.03475013
B_-3_4_P_BLUE_-4_2_-3_4_-1_1_P_ORANGE_-4_3_-2_4_0_4,3,1,0,4,4,0.75,0.0,0.376904,0.06599914,0.26409706,0.42386037,0.02571859,0.012266331,0.009240197,0.04344808
B_-1_4_P_BLUE_-1_3_-1_5_0_3_P_ORANGE_-1_4_-1_5_0_4,3,1,0,4,4,0.75,0.0,0.36922666,0.15511413,0.10208918,0.47776613,0.026021788,0.0153861595,0.007967562,0.042946123
B_3_2_P_BLUE_0_-1_3_1_3_2_P_ORANGE_0_3_2_3_3_2,3,1,0,4,4,0.75,0.0,0.3150974,0.07073051,0.20691612,0.404497,0.019679371,0.0026473505,0.016143547,0.022693552
B_-1_4_P_BLUE_-3_0_-2_4_-1_4_P_ORANGE_-4_3_-1_4_0_4,3,1,0,4,4,0.75,0.0,0.29969388,0.04646598,0.22215816,0.34173414,0.02559837,0.013623728,0.014251632,0.047975738
B_-3_4_P_BLUE_-3_1_-3_4_-2_4_P_ORANGE_-3_4_-2_4_-1_3,3,1,0,4,4,0.75,0.0,0.2188181,0.018519342,0.19708638,0.2452728,0.05145833,0.03258811,0.019414233,0.10263053
B_1_4_P_BLUE_-4_0_1_1_2_4_P_ORANGE_0_4_0_4_1_4,3,1,0,4,4,0.75,0.0,0.17897983,0.046846703,0.10156385,0.22133952,0.05158498,0.068073034,0.0071040895,0.16934115
B_-4_2_P_BLUE_-4_2_-4_3_-3_0_P_ORANGE_-4_2_-3_4_-1_3,3,1,0,4,4,0.75,0.0,0.16901857,0.100483455,0.0076248874,0.28417763,0.15541595,0.081537336,0.07629898,0.29154426
B_0_4_P_BLUE_0_2_0_4_2_4_P_ORANGE_-2_4_-1_4_0_5,2,1,0,3,3,0.6666666666666666,0.0,0.7919243,0.034802336,0.75453174,0.8383361,0.012317486,0.0130838,0.0027259286,0.030816557
B_0_4_P_BLUE_-4_1_0_3_1_4_P_ORANGE_-2_4_-1_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.7727272,0.16154456,0.5442766,0.8886041,0.05748348,0.06918951,0.006549963,0.15530433
B_-2_4_P_BLUE_-2_3_-2_4_0_3_P_ORANGE_-3_4_-1_3_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.7690809,0.035945334,0.7315079,0.81752044,0.034861334,0.034893464,0.007306251,0.084091224
B_-2_4_P_BLUE_-2_3_-2_4_-1_2_P_ORANGE_-2_1_-2_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.7649205,0.2330787,0.4356718,0.9431464,0.055351358,0.003655949,0.050298043,0.058825098
B_0_4_P_BLUE_-1_3_0_3_0_4_P_ORANGE_-1_2_0_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.7543311,0.10621633,0.6411495,0.8964515,0.007992492,0.0017779091,0.0056080553,0.00987557
B_-1_3_P_BLUE_-1_3_-1_4_3_0_P_ORANGE_-1_3_-1_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.74123806,0.17440206,0.49751803,0.8958782,0.009279391,0.0044803224,0.004304487,0.01516503
B_-1_4_P_BLUE_-1_3_-1_4_-1_4_P_ORANGE_-2_4_-1_4_-1_5,2,1,0,3,3,0.6666666666666666,0.0,0.69758683,0.047835283,0.64479876,0.76061946,0.0069073434,0.00087120215,0.005921028,0.0080399355
B_-1_4_P_BLUE_-4_2_-1_4_0_1_P_ORANGE_-2_4_-1_4_0_2,2,1,0,3,3,0.6666666666666666,0.0,0.6848955,0.16474973,0.4682059,0.86738825,0.022843221,0.011527727,0.0076582995,0.03557342
B_3_3_P_BLUE_-3_2_1_1_3_3_P_ORANGE_0_3_3_1_3_3,2,1,0,3,3,0.6666666666666666,0.0,0.68013483,0.11200892,0.5684096,0.8332451,0.02933483,0.03207571,0.004954368,0.07465317
B_-1_4_P_BLUE_-1_3_0_0_0_4_P_ORANGE_-1_4_-1_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.6794899,0.13634644,0.48705444,0.786289,0.010808536,0.0022352298,0.007933333,0.013383803
B_0_4_P_BLUE_-2_-1_0_1_0_4_P_ORANGE_0_4_0_4_1_2,2,1,0,3,3,0.6666666666666666,0.0,0.66926885,0.21978158,0.43793347,0.964711,0.006701315,0.005515985,0.002222359,0.014471918
B_-3_4_P_BLUE_-4_1_-3_4_-2_-1_P_ORANGE_-3_4_-1_2_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.66780424,0.069447935,0.5700862,0.7252022,0.0094618695,0.0062773894,0.0047531994,0.018333854
B_0_4_P_BLUE_0_0_0_4_0_4_P_ORANGE_-1_4_0_0_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.65362555,0.19513679,0.50766903,0.92943394,0.007233745,0.00440598,0.001520013,0.01224327
B_-1_4_P_BLUE_-4_2_-1_4_3_-1_P_ORANGE_-2_3_-1_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.61450744,0.15539399,0.46514428,0.82879174,0.017838566,0.0052650794,0.010952153,0.023734238
B_-2_4_P_BLUE_-4_0_-3_4_-2_3_P_ORANGE_-3_4_-2_4_0_0,2,1,0,3,3,0.6666666666666666,0.0,0.6131116,0.2241096,0.4525087,0.93004084,0.012644387,0.0017448852,0.010545747,0.01481786
B_-1_4_P_BLUE_-1_2_-1_4_0_0_P_ORANGE_-1_4_-1_5_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.60527605,0.25253904,0.3773573,0.95736086,0.009219311,0.0054660053,0.00453978,0.01688752
B_-1_4_P_BLUE_-1_4_-1_4_0_-1_P_ORANGE_-2_4_-1_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.6052324,0.25584185,0.36225435,0.9588934,0.0054771993,0.0026448432,0.0018374459,0.00804336
B_1_3_P_BLUE_-1_0_1_2_1_4_P_ORANGE_-2_4_0_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.60489917,0.031607553,0.5657112,0.6431153,0.054520328,0.034620468,0.006083308,0.084924005
B_0_4_P_BLUE_-1_3_-1_4_0_3_P_ORANGE_-2_4_0_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.60249376,0.24167003,0.3979823,0.94189477,0.049156766,0.03178548,0.0124783395,0.09000143
B_0_4_P_BLUE_-2_1_0_4_1_3_P_ORANGE_-1_4_0_3_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.6019454,0.12555455,0.47150868,0.7714979,0.011709725,0.0021097143,0.008904544,0.013992407
B_2_4_P_BLUE_1_1_2_4_3_3_P_ORANGE_0_4_1_4_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.6013496,0.008043378,0.5902397,0.6090192,0.007970791,0.003523925,0.00518737,0.012942516
B_0_3_P_BLUE_-1_2_0_2_0_4_P_ORANGE_-1_4_-1_5_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.5975123,0.17087664,0.47534785,0.8391634,0.016932458,0.002244,0.013778589,0.018814575
B_2_4_P_BLUE_1_1_2_0_2_4_P_ORANGE_0_4_1_4_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.59344906,0.12444156,0.4176465,0.6883249,0.017632741,0.013286319,0.0009590501,0.033471614
B_0_4_P_BLUE_-1_2_1_4_2_1_P_ORANGE_-1_4_0_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.5841715,0.20186557,0.4407012,0.8696512,0.010479392,0.0007777681,0.009434862,0.011300158
B_0_4_P_BLUE_0_0_0_2_0_4_P_ORANGE_-1_3_0_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.57498246,0.16472404,0.45218256,0.8078209,0.013087447,0.0014902022,0.01199663,0.015194471
B_-1_1_P_BLUE_-1_-2_-1_0_-1_0_P_ORANGE_-1_0_0_-1_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.5739991,0.22727217,0.3499931,0.8856141,0.01874567,0.006661549,0.0116563765,0.027663473
B_-1_4_P_BLUE_-1_1_-1_4_0_3_P_ORANGE_-1_4_-1_4_0_0,2,1,0,3,3,0.6666666666666666,0.0,0.57309586,0.12850346,0.4324391,0.743081,0.0613579,0.07508035,0.007900531,0.1675367
B_0_4_P_BLUE_0_1_0_4_0_4_P_ORANGE_-1_4_0_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.5701806,0.024092281,0.5369127,0.5931858,0.0066581294,0.0034844258,0.0024461003,0.010979081
B_-3_3_P_BLUE_-3_-2_-3_0_-3_3_P_ORANGE_-4_3_-2_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.56497175,0.10639826,0.48715222,0.71541166,0.0057516214,0.00413153,0.002767776,0.011594039
B_0_4_P_BLUE_0_-1_0_3_0_4_P_ORANGE_-2_4_-1_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.5647978,0.21959838,0.2926402,0.83042526,0.010278643,0.011022496,0.0021715034,0.025862558
B_0_4_P_BLUE_-1_0_-1_4_3_3_P_ORANGE_-1_3_-1_4_3_0,2,1,0,3,3,0.6666666666666666,0.0,0.56410927,0.17876697,0.43153372,0.81682193,0.04203074,0.0069458946,0.03400764,0.050950505
B_-2_4_P_BLUE_-2_2_-2_4_-2_4_P_ORANGE_-3_4_-2_4_0_5,2,1,0,3,3,0.6666666666666666,0.0,0.55987924,0.2955259,0.14194284,0.76929176,0.010497806,0.005039538,0.0062215123,0.017573604
B_0_4_P_BLUE_-1_3_0_4_2_-1_P_ORANGE_-3_4_-1_5_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.55349845,0.02354153,0.5360065,0.5867766,0.0032599568,0.000815257,0.002108018,0.0038776847
B_-1_4_P_BLUE_-2_2_-2_4_-1_4_P_ORANGE_-1_4_-1_4_3_-1,2,1,0,3,3,0.6666666666666666,0.0,0.5529726,0.22539869,0.2342426,0.71623987,0.017583521,0.0037316144,0.0123567255,0.020827688
B_-1_3_P_BLUE_-1_3_0_0_0_3_P_ORANGE_-1_3_-1_4_0_3,2,1,0,3,3,0.6666666666666666,0.0,0.5528535,0.16076149,0.40016794,0.77507883,0.028162166,0.01137026,0.012793918,0.03994347
B_3_3_P_BLUE_0_2_2_1_3_3_P_ORANGE_0_2_1_4_3_3,2,1,0,3,3,0.6666666666666666,0.0,0.5517294,0.1303734,0.40274772,0.7202903,0.004674782,0.0025744664,0.0024882196,0.008289179
B_-1_4_P_BLUE_-2_-1_-2_4_-1_4_P_ORANGE_-4_4_-2_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.55014724,0.046402983,0.5152859,0.61572737,0.007710077,0.0028140561,0.0037864184,0.01024814
B_2_4_P_BLUE_-2_2_2_4_3_2_P_ORANGE_0_4_2_4_3_3,2,1,0,3,3,0.6666666666666666,0.0,0.54896194,0.06036965,0.4781089,0.62563926,0.027928567,0.003346041,0.023884175,0.03207824
B_-3_4_P_BLUE_-4_4_-2_0_-2_2_P_ORANGE_-4_4_-1_4_1_3,2,1,0,3,3,0.6666666666666666,0.0,0.5482996,0.17898247,0.34653175,0.7815443,0.008238253,0.0031330134,0.0040022414,0.011481343
B_-1_1_P_BLUE_-1_0_-1_0_2_-3_P_ORANGE_-3_2_-2_-1_1_-1,2,1,0,3,3,0.6666666666666666,0.0,0.546205,0.26986694,0.19748983,0.8548777,0.07677818,0.0058239037,0.069095686,0.08319066
B_-1_0_P_BLUE_-2_0_-1_0_2_-3_P_ORANGE_-3_2_-2_0_1_-1,2,1,0,3,3,0.6666666666666666,0.0,0.53950375,0.1396366,0.36225548,0.7035259,0.0845662,0.015105149,0.070358835,0.105485134
B_-1_4_P_BLUE_-2_3_-2_4_1_4_P_ORANGE_-2_4_-2_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.53898746,0.042140644,0.4867376,0.5899361,0.014686402,0.003510219,0.010980223,0.019399673
B_-1_4_P_BLUE_-1_4_-1_4_0_1_P_ORANGE_-1_4_-1_4_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.5351658,0.1441078,0.35210058,0.7042609,0.005274149,0.0027755995,0.001351325,0.0073560467
B_-1_4_P_BLUE_-2_3_-1_1_0_4_P_ORANGE_-1_4_0_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.5332841,0.2066974,0.2602103,0.76014674,0.023076624,0.012728335,0.011154374,0.04071725
B_-1_4_P_BLUE_-2_1_-2_4_-1_4_P_ORANGE_-1_4_-1_4_-1_5,2,1,0,3,3,0.6666666666666666,0.0,0.53121316,0.065383084,0.4387507,0.57811105,0.018089144,0.005819367,0.010743324,0.02497558
B_-3_3_P_BLUE_-3_3_-2_4_1_1_P_ORANGE_-3_3_0_0_1_3,2,1,0,3,3,0.6666666666666666,0.0,0.52949876,0.1471574,0.3826221,0.7306218,0.064209424,0.011072911,0.051197357,0.07826056
B_-1_4_P_BLUE_-2_0_-1_4_0_3_P_ORANGE_-4_1_-1_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.5249287,0.11326158,0.38813794,0.66549397,0.0043717297,0.0027889134,0.0011140605,0.007926117
B_0_4_P_BLUE_-1_0_0_4_0_4_P_ORANGE_0_4_0_4_2_3,2,1,0,3,3,0.6666666666666666,0.0,0.5206067,0.06978844,0.4462673,0.6139981,0.012693875,0.010766014,0.004067232,0.027872112
B_1_4_P_BLUE_0_2_1_4_2_2_P_ORANGE_1_2_1_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.519422,0.13379401,0.39369226,0.7047421,0.014949099,0.002063644,0.012770294,0.017720032
B_0_4_P_BLUE_-2_4_0_1_1_3_P_ORANGE_-1_4_0_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.5181321,0.080951296,0.45549843,0.6324395,0.096548,0.040544223,0.06477272,0.15376964
B_0_4_P_BLUE_0_1_0_4_0_4_P_ORANGE_0_4_0_4_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.5150041,0.047289003,0.4485229,0.55453455,0.034096103,0.036950834,0.007502675,0.086349696
B_0_4_P_BLUE_0_1_0_4_1_4_P_ORANGE_-2_2_-1_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.5132005,0.07167982,0.4605006,0.61454403,0.015995668,0.006908047,0.00897952,0.02539118
B_-2_3_P_BLUE_-4_3_-2_3_0_1_P_ORANGE_-4_2_-2_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.51210064,0.027439823,0.48075137,0.5475827,0.018566765,0.012837129,0.008801246,0.03670335
B_-1_4_P_BLUE_-3_2_-2_4_-1_3_P_ORANGE_-3_4_-2_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.51050776,0.07135784,0.44997346,0.61070067,0.03403328,0.03493843,0.007838898,0.08341313
B_0_4_P_BLUE_0_2_0_4_1_-1_P_ORANGE_0_4_0_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.5080628,0.042218708,0.45320362,0.5559003,0.0273024,0.024703795,0.007595141,0.062138706
B_0_4_P_BLUE_-1_2_1_2_1_4_P_ORANGE_0_4_0_4_1_2,2,1,0,3,3,0.6666666666666666,0.0,0.50720316,0.04388784,0.44723982,0.5510597,0.014579162,0.005649252,0.009376558,0.02243125
B_0_3_P_BLUE_0_3_0_3_1_-1_P_ORANGE_-1_4_0_3_0_3,2,1,0,3,3,0.6666666666666666,0.0,0.50417,0.28596383,0.102403164,0.7450597,0.10453787,0.08020169,0.020306643,0.21243563
B_2_4_P_BLUE_1_0_1_2_1_4_P_ORANGE_-2_4_0_4_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.50345993,0.24787353,0.16154289,0.74136233,0.048821744,0.05293522,0.007794252,0.12356432
B_-1_3_P_BLUE_-2_-2_-2_3_0_2_P_ORANGE_-2_2_-1_3_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.50225663,0.114007935,0.4180894,0.6634353,0.011067274,0.0032064794,0.0074153948,0.015221324
B_-3_4_P_BLUE_-4_1_-3_4_3_0_P_ORANGE_-3_4_-2_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.49899122,0.2021623,0.21401206,0.66134405,0.037831686,0.043694563,0.0059037083,0.09961353
B_-1_4_P_BLUE_-2_0_-1_3_-1_4_P_ORANGE_-1_4_-1_4_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.49889502,0.03022185,0.46172372,0.5357498,0.020472132,0.02426271,0.00294149,0.05478204
B_-3_3_P_BLUE_-3_3_-3_4_1_0_P_ORANGE_-2_4_-1_4_2_-1,2,1,0,3,3,0.6666666666666666,0.0,0.49778733,0.052358672,0.42432594,0.5425626,0.0061270334,0.00019364982,0.00585437,0.0062855366
B_-1_4_P_BLUE_-1_3_-1_4_0_0_P_ORANGE_-2_3_-2_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.49725786,0.011413385,0.48717976,0.5132158,0.023704365,0.0021867051,0.020661525,0.02570366
B_-1_4_P_BLUE_-2_0_-1_3_-1_4_P_ORANGE_-1_4_0_5_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.49558115,0.024312777,0.46534944,0.5248815,0.008346387,0.00093824207,0.007179898,0.009477286
B_0_4_P_BLUE_-2_2_-1_4_0_3_P_ORANGE_-1_4_0_3_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.49375153,0.08557133,0.38939476,0.5989952,0.032514215,0.02473389,0.0026122762,0.06318312
B_0_4_P_BLUE_-1_2_0_4_1_0_P_ORANGE_-3_3_0_3_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.48795927,0.0073314225,0.4822287,0.49830753,0.0065174215,0.0034318236,0.0033318715,0.011281209
B_-1_4_P_BLUE_-1_1_-1_3_-1_4_P_ORANGE_-1_4_-1_5_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.48711142,0.046495467,0.4386486,0.54982996,0.023090145,0.010878093,0.01278961,0.038136046
B_-1_4_P_BLUE_-1_4_0_0_0_3_P_ORANGE_-1_4_-1_4_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.48573264,0.011338649,0.47756302,0.5017669,0.03690065,0.026806753,0.01020301,0.07355891
B_0_3_P_BLUE_0_0_0_3_1_3_P_ORANGE_0_3_0_4_1_3,2,1,0,3,3,0.6666666666666666,0.0,0.4855771,0.011093387,0.4702376,0.49609643,0.048950568,0.030746412,0.0062859273,0.07754988
B_-1_4_P_BLUE_-1_2_-1_4_0_4_P_ORANGE_-2_4_-1_5_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.4810685,0.011380139,0.47150943,0.49706092,0.01919011,0.012604616,0.006343851,0.036315795
B_-1_4_P_BLUE_-2_4_-1_2_0_3_P_ORANGE_-2_4_-1_4_-1_5,2,1,0,3,3,0.6666666666666666,0.0,0.48064244,0.064375475,0.43230665,0.5716238,0.015154821,0.004399627,0.011816174,0.02137114
B_-2_4_P_BLUE_-2_1_-2_4_-2_4_P_ORANGE_-3_3_-2_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.4788179,0.026015561,0.45678112,0.515351,0.04400185,0.017882233,0.018735802,0.057573754
B_0_1_P_BLUE_-3_-5_-1_0_0_-1_P_ORANGE_0_-1_0_0_3_3,2,1,0,3,3,0.6666666666666666,0.0,0.4785916,0.12541267,0.30233008,0.583793,0.04942565,0.017923472,0.028352594,0.0721614
B_-2_4_P_BLUE_-2_2_-2_4_-1_-1_P_ORANGE_-3_4_-2_4_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.47776902,0.2674034,0.10553901,0.7216808,0.049708933,0.06338446,0.003878181,0.13934043
B_-3_3_P_BLUE_-4_0_-3_3_3_3_P_ORANGE_-3_3_-3_4_0_0,2,1,0,3,3,0.6666666666666666,0.0,0.4777604,0.06409752,0.3888728,0.53759855,0.022186682,0.017215755,0.00923522,0.04651649
B_0_4_P_BLUE_0_1_0_4_0_4_P_ORANGE_0_0_0_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.47760233,0.008281522,0.4708602,0.48926696,0.00871911,0.005286731,0.0044478383,0.016169015
B_0_4_P_BLUE_0_3_1_2_1_4_P_ORANGE_0_4_0_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.4766539,0.010058765,0.46300936,0.48696014,0.041660253,0.02598279,0.011341309,0.0747983
B_-1_4_P_BLUE_-2_4_-1_2_1_4_P_ORANGE_-2_4_-1_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.47617826,0.12815328,0.29495928,0.5689479,0.020962844,0.0037499638,0.016852764,0.025920259
B_-1_4_P_BLUE_-3_4_-2_0_1_1_P_ORANGE_-2_4_-1_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.4753376,0.15346293,0.26014364,0.60732675,0.018608684,0.0089175375,0.011500193,0.031184332
B_-4_3_P_BLUE_-4_-2_-4_2_0_0_P_ORANGE_-4_2_-3_4_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.47167042,0.20540133,0.23717378,0.7373878,0.06679068,0.092184775,0.0013049836,0.19715917
B_-2_4_P_BLUE_-2_4_-2_4_0_3_P_ORANGE_-3_3_-2_4_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.47147965,0.046950836,0.43605345,0.5378272,0.032521497,0.0038197956,0.027165856,0.03581094
B_1_4_P_BLUE_1_3_2_3_2_4_P_ORANGE_0_4_2_3_2_4,2,1,0,3,3,0.6666666666666666,0.0,0.47131094,0.034757007,0.44335625,0.52030224,0.11728337,0.02094638,0.0907909,0.14200732
B_0_4_P_BLUE_0_1_0_4_1_3_P_ORANGE_-1_4_0_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.47092685,0.042994976,0.41282752,0.5155072,0.01971151,0.004749188,0.013368671,0.024795644
B_0_4_P_BLUE_1_1_1_4_1_4_P_ORANGE_-1_4_0_4_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.4697429,0.023548616,0.43798444,0.4943029,0.04984517,0.013591065,0.03786339,0.06885156
B_3_3_P_BLUE_-1_0_2_4_3_0_P_ORANGE_-1_4_2_4_3_3,2,1,0,3,3,0.6666666666666666,0.0,0.46895435,0.14002551,0.32113636,0.6569821,0.019584052,0.0034818025,0.016052904,0.024321606
B_0_4_P_BLUE_-1_-1_0_3_0_4_P_ORANGE_-2_4_0_1_0_4,2,1,0,3,3,0.6666666666666666,0.0,0.46847305,0.037790034,0.42454666,0.5167988,0.011102166,0.0027462482,0.007237645,0.013368984
B_0_4_P_BLUE_0_2_0_4_3_3_P_ORANGE_-1_5_0_4_2_3,2,1,0,3,3,0.6666666666666666,0.0,0.4681158,0.029603792,0.44472334,0.5098815,0.027428279,0.0136092445,0.008609998,0.04033334
B_-1_4_P_BLUE_-1_2_-1_4_0_4_P_ORANGE_-2_3_-1_4_-1_5,2,1,0,3,3,0.6666666666666666,0.0,0.46775928,0.044181917,0.40671036,0.50980914,0.030307686,0.016644757,0.00865252,0.04912666
B_-1_4_P_BLUE_-1_4_0_1_0_3_P_ORANGE_-2_4_-1_3_-1_4,2,1,0,3,3,0.6666666666666666,0.0,0.466686,0.030022353,0.42462364,0.49272507,0.0077521764,0.0065071494,0.002519494,0.016924337
B_-1_4_P_BLUE_-1_1_-1_3_-1_4_P_ORANGE_-1_4_-1_4_0_3,2,1,0,3,3,0.6666666666666666,0.0,0.46440506,0.12812653,0.3173378,0.6296067,0.012170528,0.0056940024,0.0044438676,0.017997665
B_0_4_P_BLUE_-1_3_-1_4_0_1_P_ORANGE_0_4_0_5_1_4,2,1,0,3,3,0.6666666666666666,0.0,0.46400967,0.033595555,0.4213707,0.50347936,0.03877932,0.002337676,0.03547969,0.04060644
B_3_-4_P_BLUE_0_-5_3_-4_3_-4_P_ORANGE_-1_-5_3_-4_3_0,2,1,0,3,3,0.6666666666666666,0.0,0.46314144,0.18825774,0.19792977,0.61595964,0.0485169,0.016213905,0.033578224,0.07105153
